#curie_map:
#  saref: "https://saref.etsi.org/core/"
#  s4inma: "https://saref.etsi.org/saref4inma/"
#  uadi: "https://w3id.org/tesseract/industrial-crosswalks/opcua-di-lifted#"
#  uamach: "https://w3id.org/tesseract/industrial-crosswalks/opcua-machinery-lifted#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/industrial-crosswalks/saref-opcua"
#mapping_set_version: "0.1.0"
#mapping_set_title: "SAREF / SAREF4INMA to OPC UA DI and Machinery crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://saref.etsi.org/saref4inma/v1.1.2/"
#object_source: "OPC UA DI and Machinery companion specification NodeSets, lifted by lift/opcua_to_rdf.py"
#comment: "The OPC UA side is a LIFT, not an OPC Foundation artefact: OPC UA ships an address-space NodeSet, not an ontology, and lift/opcua_to_rdf.py documents exactly what the transformation keeps and drops. The headline finding of this pair is NEGATIVE and is the reason the file is short: SAREF4INMA and OPC UA DI are close to complementary rather than overlapping. Their shared vocabulary is essentially {the device, its identification, its state}. Rows with predicate_modifier=Not record asserted absences, which here outnumber the correspondences. That imbalance is the result, not a gap in the work."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
saref:Device	Device	skos:closeMatch		uadi:DeviceType	DeviceType	semapv:ManualMappingCuration	0.85	The one solid correspondence in this pair. Both denote the physical apparatus that senses, actuates or produces. OPC UA DI subsumes DeviceType under ComponentType and thence TopologyElementType, giving it a topological commitment SAREF does not make.
s4inma:ProductionEquipment	ProductionEquipment	skos:narrowMatch		uadi:DeviceType	DeviceType	semapv:ManualMappingCuration	0.8	SAREF4INMA specialises saref:Device for manufacturing. It lands inside DeviceType rather than beside it, because OPC UA DI does not distinguish production equipment from any other device.
s4inma:WorkCenter	WorkCenter	skos:relatedMatch		uadi:BlockType	BlockType	semapv:ManualMappingCuration	0.45	A work centre aggregates production equipment. OPC UA DI has no aggregation concept for that; BlockType is the nearest structural analogue and is a functional block, not an organisational unit. Weak on purpose.
s4inma:ID	ID	skos:closeMatch		uamach:MachineryItemIdentificationType	MachineryItemIdentificationType	semapv:ManualMappingCuration	0.7	Both are the identification carrier. The Machinery companion spec supplies what DI alone does not.
s4inma:IRDI	IRDI	skos:narrowMatch		uamach:MachineryItemIdentificationType	MachineryItemIdentificationType	semapv:ManualMappingCuration	0.6	IRDI is one identifier scheme carried by that identification type. IEC 61360 IRDIs are the shared currency between SAREF4INMA, OPC UA and the AAS, which makes this row the most reusable one in the file.
saref:State	State	skos:relatedMatch		uamach:MachineryItemState_StateMachineType	MachineryItemState_StateMachineType	semapv:ManualMappingCuration	0.5	SAREF State is a condition a device is in. The OPC UA type is a state MACHINE: the automaton, not the state. Related but at different levels; see DIVERGENCES.md D2.
saref:State	State	skos:relatedMatch		uadi:DeviceHealthEnumeration	DeviceHealthEnumeration	semapv:ManualMappingCuration	0.55	DI's device health values (NORMAL, FAILURE, CHECK_FUNCTION, OFF_SPEC, MAINTENANCE_REQUIRED) are states in the SAREF sense, drawn from NAMUR NE 107. The closest thing to a genuine shared vocabulary of condition.
saref:Measurement	Measurement	skos:relatedMatch		uadi:LifetimeVariableType	LifetimeVariableType	semapv:ManualMappingCuration	0.4	Both carry a measured value with a unit. DI's is specifically a lifetime or wear counter, so this is a narrow slice of what SAREF means by measurement.
saref:Function	Function	skos:relatedMatch	Not	uadi:FunctionalGroupType	FunctionalGroupType	semapv:ManualMappingCuration	0.85	ASSERTED NON-MAPPING and a name trap. SAREF Function is what a device is FOR, realised by commands. OPC UA FunctionalGroupType is a folder that groups parameters for browsing. One is a capability, the other is a UI-facing organisational device. See DIVERGENCES.md D1.
s4inma:ProductionEquipmentFunction	ProductionEquipmentFunction	skos:relatedMatch	Not	uadi:FunctionalGroupType	FunctionalGroupType	semapv:ManualMappingCuration	0.85	ASSERTED NON-MAPPING, same trap one level down.
s4inma:Batch	Batch	skos:relatedMatch	Not	uadi:DeviceType	DeviceType	semapv:ManualMappingCuration	0.9	ASSERTED ABSENCE. OPC UA DI has no concept of a batch or lot at all. Batch semantics live in other OPC UA companion specifications (PackML, ISA-95) and cannot be reached from DI. Recorded so integrators do not go looking.
s4inma:ItemCategory	ItemCategory	skos:relatedMatch	Not	uadi:DeviceType	DeviceType	semapv:ManualMappingCuration	0.9	ASSERTED ABSENCE. SAREF4INMA separates a category (the type of thing) from the instance. OPC UA DI collapses this: its ObjectTypes ARE the categories, so there is no first-class class-of-class to map onto. A genuine metamodelling mismatch, not a missing label.
