#curie_map:
#  cfihos: "http://infohub.siemens-energy.com/CFIHOS#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  ido: "http://rds.posccaesar.org/ontology/lis14/rdl/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/industrial-crosswalks/cfihos-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "CFIHOS V2.0 property dictionary to IFC4 ADD2 property and quantity machinery"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://github.com/tecnomod-um/cfihos CORE-CFIHOS-V2.0_ido.owl"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "SCOPE, STATED UP FRONT: the open CFIHOS OWL exposes a PROPERTY DICTIONARY, 1,388 classes such as 'shell wall thickness' and 'upper limit design pressure', not a labelled equipment taxonomy in owl:Class form. So this is a crosswalk at the PROPERTY layer and nowhere else, and an equipment-class crosswalk between CFIHOS and IFC is not authorable from the open artefacts. THE FINDING: CFIHOS names 1,388 process-plant properties; IFC names roughly a dozen generic quantity and property constructs. The mapping is therefore MANY-TO-ONE INTO A GENERIC SLOT. Going CFIHOS to IFC loses the name and keeps the number; going IFC to CFIHOS is not determined at all. That asymmetry is the plant-to-building handover problem stated exactly. Exact normalised token overlap between the two class sets is ONE name. CFIHOS is an IOGP publication; this references the Universidad de Murcia OWL rendering and restates no IOGP material. Confidence is the curator's judgement."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
cfihos:CFIHOS-40000001Quality	actual length	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	Worked example of the general pattern. A CFIHOS length property lands in IFC as a generic length quantity, so the value and its unit survive and the CFIHOS name does not. The round trip is lossy: from IfcQuantityLength alone you cannot recover which of the 100-plus CFIHOS length properties this was.
cfihos:CFIHOS-40000540Quality	wall thickness	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	Second worked example, and the collision is the point: 'wall thickness', 'nominal wall thickness', 'shell wall thickness', 'tube wall thickness' and 'lower limit wall thickness' are five distinct CFIHOS properties that all map to the same IFC construct.
cfihos:CFIHOS-40000249Quality	nominal wall thickness	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	Third of the colliding set above, recorded explicitly so that the many-to-one collapse is visible in the data rather than only argued in prose.
cfihos:CFIHOS-40000369Quality	shell wall thickness	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	Fourth of the colliding set. In CFIHOS the qualifier 'shell' carries real engineering meaning about which part of a vessel is measured; IFC has nowhere to put it except a free-text property name.
cfihos:CFIHOS-40000499Quality	insulation thickness	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.75	The nearest thing to a genuine cross-domain property, since buildings insulate too. Even here IFC would normally carry it in a material-layer property set rather than as an element quantity, so the target is arguable.
cfihos:CFIHOS-40000509Quality	nominal diameter	skos:narrowMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	Nominal diameter is the single most-used identifier of piping components in process plant. IFC has no nominal-size concept and reduces it to a length quantity, discarding the fact that a nominal size is a designation rather than a measurement.
cfihos:CFIHOS-40000535Quality	upper limit design pressure	skos:relatedMatch		ifc:IfcPropertySingleValue	IfcPropertySingleValue	semapv:ManualMappingCuration	0.6	Pressure has no IFC quantity type at all: IfcElementQuantity covers length, area, volume, weight, count and time. So every one of CFIHOS's 180-plus pressure properties degrades to a generic named property value in a property set, outside the quantity machinery entirely.
cfihos:CFIHOS-40000512Quality	normal operating pressure	skos:relatedMatch		ifc:IfcPropertySingleValue	IfcPropertySingleValue	semapv:ManualMappingCuration	0.6	Second pressure example, kept to show that design and operating conditions, a distinction CFIHOS treats as fundamental, collapse into indistinguishable property values on the IFC side.
cfihos:CFIHOS-40000320Quality	pressure equipment category	skos:relatedMatch		ifc:IfcPropertyEnumeratedValue	IfcPropertyEnumeratedValue	semapv:ManualMappingCuration	0.65	A regulatory classification under the Pressure Equipment Directive, drawn from a controlled list. IfcPropertyEnumeratedValue is the right IFC construct for a value from a list, but IFC carries no such list and no notion that the classification is regulatory.
cfihos:CFIHOS-40000009Quality	ATEX category	skos:relatedMatch		ifc:IfcPropertyEnumeratedValue	IfcPropertyEnumeratedValue	semapv:ManualMappingCuration	0.65	As above for hazardous-area classification. Hazardous-area data is safety-critical in process plant and has no IFC representation beyond an untyped enumerated property, which is worth knowing before relying on a handover.
ido:QualityDatum	QualityDatum	skos:closeMatch		ifc:IfcPhysicalQuantity	IfcPhysicalQuantity	semapv:ManualMappingCuration	0.85	The route worth using. Because the Murcia rendering already grounds every CFIHOS property in IDO, and this repository certifies ido:QualityDatum against ifc:IfcPhysicalQuantity with a reasoner, CFIHOS reaches IFC through IDO as a hub rather than by direct mapping. Composing two certified hops beats authoring 1,388 direct ones.
ido:Quality	Quality	skos:relatedMatch		ifc:IfcProperty	IfcProperty	semapv:ManualMappingCuration	0.5	The other half of the hub route, for the 772 CFIHOS classes grounded on ido:Quality rather than ido:PhysicalQuantity. Weaker because IfcProperty straddles the borne characteristic and its recorded value, a distinction IDO keeps and IFC does not.
