#curie_map:
#  isa95: "https://w3id.org/tesseract/industrial-crosswalks/isa95-lifted#"
#  aas: "https://admin-shell.io/aas/3/2/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/industrial-crosswalks/isa95-aas"
#mapping_set_version: "0.1.0"
#mapping_set_title: "ISA-95 (IEC 62264, via MESA B2MML) to Asset Administration Shell metamodel crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "MESA International B2MML XML Schemas, lifted by lift/b2mml_to_rdf.py"
#object_source: "https://admin-shell.io/aas/3/2/ (IDTA metamodel RDF)"
#comment: "The ISA-95 side is a LIFT of the MESA B2MML XML Schemas, not a normative artefact; see lift/b2mml_to_rdf.py for what the transformation keeps and refuses. THE STRUCTURAL POINT OF THIS PAIR: ISA-95 is a DOMAIN model (equipment, material, personnel, process segments) and the AAS metamodel is a CONTAINER model (shells, submodels, typed elements). They meet at exactly one layer, the property and its semantic definition, and both reach it through IEC 61360. Everything ISA-95 says about material, personnel, location and process has no AAS counterpart, and is recorded here as an asserted absence rather than omitted. Neither side asserts any disjointness (see metrics/RESULTS.md), so none of this can be reasoner-certified: validate with SHACL over instance data and human review. Confidence is the curator's judgement, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
isa95:EquipmentPropertyType	EquipmentProperty	skos:closeMatch		aas:Property	Property	semapv:ManualMappingCuration	0.85	The one clean correspondence in the pair. Both are a named, typed, valued characteristic of a thing, and both carry a semantic reference to an external dictionary entry. This row and the ConceptDescription row below are the whole basis on which an ISA-95 to AAS integration can actually stand.
isa95:ClassPropertyTypeType	ClassPropertyType	skos:closeMatch		aas:ConceptDescription	ConceptDescription	semapv:ManualMappingCuration	0.8	The class-level definition of what a property MEANS, as opposed to a value it takes. AAS separates this cleanly into ConceptDescription; ISA-95 carries it on the class property. The correspondence holds because both are ultimately pointing at an IEC 61360 dictionary entry.
isa95:ClassPropertyTypeType	ClassPropertyType	skos:closeMatch		aas:DataSpecificationIec61360	DataSpecificationIec61360	semapv:ManualMappingCuration	0.75	The IEC 61360 content of the definition specifically: preferred name, unit, data type, value list. This is the most portable join in the whole repository, because IEC 61360 IRDIs survive the modelling differences that class names do not.
isa95:PhysicalAssetType	PhysicalAsset	skos:relatedMatch		aas:AssetInformation	AssetInformation	semapv:ManualMappingCuration	0.6	Deliberately relatedMatch and not close. An ISA-95 PhysicalAsset is the physical thing; aas:AssetInformation is the block of metadata inside a shell that identifies which asset the shell represents. Related by reference, not the same entity. See DIVERGENCES.md D1.
isa95:EquipmentAssetMappingType	EquipmentAssetMapping	skos:closeMatch		aas:SpecificAssetId	SpecificAssetId	semapv:ManualMappingCuration	0.7	Both exist to reconcile two identifier systems for the same physical thing: ISA-95 binds an equipment identity to a physical-asset identity, and SpecificAssetId binds a shell to a domain-specific identifier. A genuine functional correspondence at the identity layer.
isa95:EquipmentClassType	EquipmentClass	skos:relatedMatch		aas:Submodel	Submodel	semapv:ManualMappingCuration	0.45	Weak by construction. An ISA-95 EquipmentClass groups equipment sharing properties; the nearest AAS practice is a submodel template describing an aspect shared across shells. But a Submodel is a container in one shell, not a class over many, so this is an analogy in usage rather than a correspondence in meaning.
isa95:EquipmentClassPropertyType	EquipmentClassProperty	skos:closeMatch		aas:Property	Property	semapv:ManualMappingCuration	0.6	The class-level property. Maps to the same AAS construct as the instance-level one, which is itself the finding: AAS does not distinguish a property of a class from a property of an instance. See DIVERGENCES.md D3.
isa95:OperationsCapabilityType	OperationsCapability	skos:relatedMatch	Not	aas:Capability	Capability	semapv:ManualMappingCuration	0.85	ASSERTED NON-MAPPING, and the most tempting pair in the set because the names match exactly. aas:Capability is the implementation-independent POTENTIAL of an asset to achieve an effect, a qualitative and timeless statement. An ISA-95 OperationsCapability is a QUANTITY of capability available over a stated time interval, with a committed, available and unattainable breakdown. One is a disposition, the other is a scheduled quantity. See DIVERGENCES.md D2.
isa95:OperationsDefinitionType	OperationsDefinition	skos:relatedMatch	Not	aas:Operation	Operation	semapv:ManualMappingCuration	0.85	ASSERTED NON-MAPPING, second name trap. aas:Operation is an INVOCABLE method on a submodel, with input and output variables: it is a callable interface. An ISA-95 OperationsDefinition is a recipe or routing: the declarative specification of how a product is made. Mapping them turns a manufacturing recipe into a remote procedure call.
isa95:MaterialDefinitionType	MaterialDefinition	skos:relatedMatch	Not	aas:Submodel	Submodel	semapv:ManualMappingCuration	0.9	ASSERTED ABSENCE. The AAS metamodel has no concept of material, none of material class, definition, lot or sublot. Material semantics in the AAS world live in submodel templates published separately by IDTA, which are outside the metamodel and outside any crosswalk against it. Recorded so integrators do not go looking in the metamodel.
