#curie_map:
#  ido: "http://rds.posccaesar.org/ontology/lis14/rdl/"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/industrial-crosswalks/ido-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "IDO (ISO 15926-14) to IFC4 ADD2 backbone crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "http://rds.posccaesar.org/ontology/lis14/ont/core"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between the Industrial Data Ontology (the ISO 15926-14 standardisation-track OWL rendering, POSC Caesar) and ifcOWL IFC4 ADD2 (ISO 16739). Rows with predicate_modifier=Not are asserted NON-mappings: pairs that look alignable and are not. See DIVERGENCES.md for the argument behind each one. Confidence is the curator's, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
ido:Actual	Actual	skos:closeMatch		ifc:IfcObject	IfcObject	semapv:ManualMappingCuration	0.85	Both standards independently draw an as-built/as-designed line and both make it disjoint: IDO asserts Actual owl:disjointWith Specified, IFC asserts IfcObject owl:disjointWith IfcTypeObject. The occurrence side corresponds. This is the strongest structural agreement between the two models.
ido:Specified	Specified	skos:closeMatch		ifc:IfcTypeObject	IfcTypeObject	semapv:ManualMappingCuration	0.8	The as-designed side of the same mirrored distinction. Not exact: IDO Specified is a requirement specification carrying restrictions, IFC IfcTypeObject is a catalogue type shared by occurrences. Every IfcTypeObject is Specified; not every Specified individual is a catalogue type.
ido:Activity	Activity	skos:closeMatch		ifc:IfcProcess	IfcProcess	semapv:ManualMappingCuration	0.8	Both are the doing/happening notion. Orientation-sensitive: promoting this to owl:equivalentClass is unsafe because IfcProcess is subsumed by IfcObject, which drags activities into the IDO Object branch that IDO declares disjoint from Temporal. See DIVERGENCES.md D1.
ido:PhysicalObject	PhysicalObject	skos:closeMatch		ifc:IfcProduct	IfcProduct	semapv:ManualMappingCuration	0.75	IfcProduct is the spatially located physical thing. Narrower than IDO PhysicalObject in one direction (IfcProduct requires placement and representation) and broader in another (IfcAnnotation and IfcGrid are IfcProducts but are not physical objects).
ido:PhysicalArtefact	PhysicalArtefact	skos:closeMatch		ifc:IfcElement	IfcElement	semapv:ManualMappingCuration	0.85	The manufactured, installed physical component. The cleanest domain-level correspondence in the set.
ido:Person	Person	skos:closeMatch		ifc:IfcPerson	IfcPerson	semapv:ManualMappingCuration	0.9	Direct. Note the asymmetry: IDO Person is subsumed by Organism and thence PhysicalObject and carries that disjointness, whereas IfcPerson sits in the IFC resource layer outside IfcObject entirely and carries no disjointness at all.
ido:Organization	Organization	skos:closeMatch		ifc:IfcOrganization	IfcOrganization	semapv:ManualMappingCuration	0.9	Direct. Same layering asymmetry as Person: IDO makes Organization disjoint from PhysicalObject, InformationObject and Location; IFC asserts nothing.
ido:UnitOfMeasure	UnitOfMeasure	skos:closeMatch		ifc:IfcNamedUnit	IfcNamedUnit	semapv:ManualMappingCuration	0.85	IfcNamedUnit is the named unit with a dimensional exponent. IDO UnitOfMeasure is broader because it also subsumes Scale.
ido:Scale	Scale	skos:narrowMatch		ifc:IfcNamedUnit	IfcNamedUnit	semapv:ManualMappingCuration	0.6	IDO Scale is a subclass of UnitOfMeasure covering ordinal and interval scales. IFC has no scale concept distinct from unit, so this maps into IfcNamedUnit with loss.
ido:QualityDatum	QualityDatum	skos:closeMatch		ifc:IfcPhysicalQuantity	IfcPhysicalQuantity	semapv:ManualMappingCuration	0.85	THE CORRECT TARGET for IfcPhysicalQuantity. IfcPhysicalQuantity is a recorded measurement value, which is IDO's QualityDatum (an InformationObject), not IDO's PhysicalQuantity (a Quality). See the asserted non-mapping below and DIVERGENCES.md D4.
ido:ScalarQuantityDatum	ScalarQuantityDatum	skos:broadMatch		ifc:IfcQuantityLength	IfcQuantityLength	semapv:ManualMappingCuration	0.8	IfcQuantityLength is one scalar quantity datum among several (area, volume, count, weight, time). IDO's single ScalarQuantityDatum subsumes all of them.
ido:ScalarQuantityDatum	ScalarQuantityDatum	skos:broadMatch		ifc:IfcQuantityArea	IfcQuantityArea	semapv:ManualMappingCuration	0.8	The area case of the row above. Note that IfcQuantityLength and IfcQuantityArea are declared disjoint in IFC, so both rows cannot be promoted to equivalence together: the orientation search keeps the first and drops this one. That is the correct outcome and is visible in reasoning/results.json.
ido:InformationObject	InformationObject	skos:broadMatch		ifc:IfcPropertyDefinition	IfcPropertyDefinition	semapv:ManualMappingCuration	0.7	IfcPropertyDefinition (property sets and templates) is information about objects, so it falls inside IDO InformationObject. IDO's class is much broader: it also covers documents, datasets and quality datums.
ido:InformationObject	InformationObject	skos:broadMatch		ifc:IfcPropertySetDefinition	IfcPropertySetDefinition	semapv:ManualMappingCuration	0.7	The property-set specialisation of the row above.
ido:Feature	Feature	skos:closeMatch		ifc:IfcFeatureElement	IfcFeatureElement	semapv:ManualMappingCuration	0.8	Both denote a dependent shape modification of a host element (a void, a projection). IDO Feature is subsumed by PhysicalObject; IfcFeatureElement is subsumed by IfcElement.
ido:Compound	Compound	skos:closeMatch		ifc:IfcMaterial	IfcMaterial	semapv:ManualMappingCuration	0.75	IDO Compound is the stuff an object is materially made of, reached by hasMaterialPart. IfcMaterial is the homogeneous material assigned to an element. Close, but IFC treats material as a resource-layer definition rather than a physical object.
ido:Interval	Interval	skos:closeMatch		ifc:IfcTimePeriod	IfcTimePeriod	semapv:ManualMappingCuration	0.7	Both denote a bounded stretch of time. IFC's is a start/end time pair in the resource layer rather than a first-class temporal region.
ido:Role	Role	skos:relatedMatch		ifc:IfcActor	IfcActor	semapv:ManualMappingCuration	0.55	IfcActor is a person or organisation acting in a project role, which conflates the bearer with the role. IDO separates them: Role is a Dependent borne by an Object. Related, not equivalent.
